
Comienzo_0;Buena caída, ¿eh?<link="cambiarPitch_hablar_0.9"></link>
Intro_0;Esperemos que haya salido todo bien.<link="cambiarPitch_hablar_1.5"></link>
Intro_1;
Intro_2;¡Es broma!<link="sonido_risaIncomoda"></link>
Intro_3;<link="cambiarPitch_hablar_1.4"></link>He hecho esto miles de veces. Estará bien.
Explica_0;<link="cambiarPitch_hablar_1.3"></link>¿Eh? ¿No recuerdas el itinerario?
Explica_1;La caída ha dejado a Sonya a una altura controlada.
Explica_2;Corta su cuerda y caerá cerca del sendero donde seguiremos el camino.<link="cambiarPitch_hablar_1.5"></link>
Explica_3;¡Tú y tu amiga contratasteis una aventura de montaña completa, amigo!
Explica_4;Y habéis encontrado al mejor monitor.
Cuchillo_0;<link="cambiarPitch_hablar_1.3"></link>Bueno, haz los honores: corta la cuerda.
IntroFarol_0;<link="cambiarPitch_hablar_1.1"></link>Perfecto....
IntroFarol_1;<link="cambiarPitch_hablar_1.5"></link>Bueno, ¡no la hagamos esperar!
IntroFarol_2;<link="cambiarPitch_hablar_1.3"></link>Vamos a preparar tu salto, eres el siguiente.
IntroFarol_3;La ventisca está fuerte, si no saltas rápido, el viento podría alterar tu trayectoria.<link="sonido_risaIncomoda"></link>
IntroFarol_4;Necesitaremos luz. Enciende ese farolillo de allí.
Farol_0;Primero tienes que encender el gas.
Farol_1;El botón está por el otro lado.
Consentimiento_0;Antes de que se me olvide, tienes que firmarme esta hoja de consentimiento.
Formalidad_0;No te preocupes, es solo una formalidad.
Formalidad_1;Es muy raro que sucedan accidentes, sobre todo si se es competente.
Formalidad_2;<link="cambiarPitch_hablar_1.0"></link>Te sorprendería, créeme.
Formalidad_3;Hay ineptos que no saben ni hacer bien un nudo.
Cuerda_0;<link="cambiarPitch_hablar_1.3"></link>Lo primero que tienes que hacer es revisar la cuerda.
Cuerda_1;Tenemos que asegurarnos de que aquello que va a sostener tu vida esté en perfectas condiciones.
Cuerda_2;Este frío puede hacer que las cuerdas pierdan elasticidad,
Cuerda_3;y si saltas con una de esas puedes acabar con luxaciones en la columna,
Cuerda_4;<link="cambiarPitch_hablar_1.1"></link>una pierna rota o quien sabe si algo peor.
Cuerda_5;<link="cambiarPitch_hablar_1.3"></link>Quítale un poco el hielo de encima.
Cuerda_6;<link="cambiarPitch_hablar_1.3"></link>Debería ser suficiente con darle un par de toques.
CintaAislante_0;<link="cambiarPitch_hablar_1.1"></link>Ah eso....
CintaAislante_1;<link="cambiarPitch_hablar_1.3"></link>No te preocupes.
CintaAislante_2;Esa cinta cumple con todas las medidas de seguridad.
CintaAislante_3;Es una cinta especial para la reparación de cuerdas de escalada,
CintaAislante_4;<link="cambiarPitch_hablar_1.5"></link>y está instalada por un profesional -un servidor- y no compromete la seguridad del salto.<link="sonido_risaIncomoda"></link>
CintaAislante_5;
CintaAislante_6;<link="cambiarPitch_hablar_1.3"></link>A continuación abre la caja de los mosquetones.
CintaAislante_7;Es esa caja de herramientas que hay ahí.
CintaAislante_8;Después ata la cuerda al mosquetón, ¿quieres?
Cerrojo_0;<link="cambiarVolumen_hablar_0"><Parece que la caja está cerrada, ></link>;
Cerrojo_1;<quizá el monitor sepa algo...>;
Furgoneta_0;<link="cambiarVolumen_hablar_0.4">Disculpa, había ido a la furgoneta a buscar unas cosas.</link>
Furgoneta_1;Espero no haberte asustado.
Furgoneta_2;<link="cambiarPitch_hablar_0.85"></link>¿Qué?
Furgoneta_3;¿Que todavía no has preparado la cuerda?
Furgoneta_4;<link="cambiarPitch_hablar_0.95"></link>¡Pero serás inútil!
Furgoneta_5;No me pagan lo suficiente por aguantar a domingueros inútiles,
Furgoneta_6;luego suceden accidentes y la culpa es siempre del puto instructor.
Furgoneta_7;
Furgoneta_8;<link="cambiarPitch_hablar_1.3"></link>¿Cómo? ¿Que la caja tiene un candado?
Furgoneta_9;<link="cambiarPitch_hablar_1.1"></link>Joder....  disculpa,
Furgoneta_10;<link="cambiarPitch_hablar_1.3"></link>La contraseña debería ser "" 1 9 9 3 "". Date prisa.
Mosquetón_0;Perfecto. Ahora ata un mosquetón al final de la cuerda.
Mosquetón_1;Asegúrate de atarlo bien y date prisa.
Mosquetón_2;<link="cambiarPitch_hablar_0.95"></link>Te recuerdo la importancia de hacerlo correctamente.
Mosquetón_3;De ese nudo va a depender todo tu salto.
Nudo_0;<link="cambiarPitch_hablar_1.1"></link>¡Te he dicho que te des prisa! 
Nudo_1;<link="cambiarPitch_hablar_0.95"></link>Por dios, que es hacer un jodido nudo.
Nudo_2;<link="cambiarPitch_hablar_0.85"></link>¿Es que no has estado nunca en un campamento de verano?
Nudo_3;Espero que seas un poco más competente poniendo el mosquetón en el gancho...
Nudo_4;Rápido, que la tormenta se acerca.
TeGrita_0;<link="cambiarPitch_hablar_1.1"></link>¡No es tan difícil, joder!
Final_0;¿Acaso tengo que hacerlo yo todo?
Final_1;<link="cambiarPitch_hablar_1.0"></link>Si supieras lo que he tenido que aguantar...
Final_2;Uno dedica su vida a esto, les ayuda,
Final_3;les enseña hasta a como subirse los pantalones y en definitiva, les salva la vida.
Final_4;<link="cambiarPitch_hablar_0.9"></link>Porque sin mí os mataríais todos, ¿lo sabes, no?
Final_5;Ninguno os preocupáis ni un mínimo por informaros antes de venir aquí,
Final_6;y encima tenéis los huevos de no escucharme.
Final_7;<link="cambiarPitch_hablar_1.1"></link>¡Como si vuestra vida no dependiera de mí!
Final_8;¡Como si no pudiera mataros a todos aflojando un tornillo cuando no miráis!
Final_9;<link="cambiarPitch_hablar_0.9"></link>Y ahí estás, parado como un pasmarote.
Final_10;¿Tienes idea del rato que llevamos aquí?
Final_11;Parece que sea la primera vez que haces un puto nudo en tu vida.
Final_12;<link="cambiarPitch_hablar_1.1"></link>¡Me da igual que estés nervioso!
Final_13;<link="cambiarPitch_hablar_0.8"></link>Los inútiles como tú me repugnan.
Final_14;<link="cambiarPitch_hablar_0.9"></link>Piensas que esto es un juego, que puedes echar el rato admirando las vistas,
Final_15;fumando o mirando a las musarañas, 
Final_16;pero esto no es ningún puto juego.
Final_17;¿Sabes lo que pasaría si por tu culpa sucediera un accidente?
Final_18;<link="cambiarPitch_hablar_1.1"></link>¿¡Sabes lo que le pasaría a mi vida, a mi negocio...?!
Final_19;
Final2_0;<link="cambiarPitch_hablar_1.3"></link>Perdón.
Final2_1;Me he dejado llevar.<link="sonido_risaIncomoda"></link>
Final2_2;
Final2_3;Salta. Venga.
SiToca_0;No te entretengas. Salta.
PreSalto_0;Nos vemos abajo.
PeriodicoNo_0;Deja de cotillear. Eso no es más que basura que habrá dejado algún cerdo.
PeriodicoNo_1;Concéntrate en los preparativos, ¿quieres?
